Ratio,Mean,Max,Min,Std,Range,Lag-1_Ratio,Lag+1_Ratio,Season,Sunday,Am,Lunch,Pm
0.2916155,437602.4125,471791.2549999996,403413.5700000004,34188.84249999959,68377.68499999918,0.5068783,0.1188131,1,1,1,0,0
0.1188131,178292.59049999985,210867.16199999984,145718.01899999985,32574.57149999999,65149.14299999998,0.2916155,0.2281411,1,1,1,0,0
0.2281411,375887.0744999995,411026.7249999985,340747.42400000046,35139.65049999903,70279.30099999806,0.1188131,0.1503966,1,1,1,0,0
0.1503966,252967.52399999986,281994.8299999999,223940.21799999982,29027.30600000004,58054.61200000008,0.2281411,0.1776725,1,1,1,0,0
0.1776725,319073.9735000003,380877.2470000006,257270.69999999995,61803.27350000033,123606.54700000066,0.1503966,0.1026783,1,1,1,0,0
0.1026783,184395.32349999997,221778.25900000005,147012.3879999999,37382.93550000008,74765.87100000016,0.1776725,0.0488281,1,1,0,1,0
0.0488281,145609.3789999999,150580.51600000015,140638.24199999968,4971.137000000235,9942.27400000047,0.1026783,0.0631561,1,1,0,1,0
0.0631561,188336.6639999996,205702.56899999976,170970.75899999947,17365.905000000144,34731.81000000029,0.0488281,0.0431067,1,1,0,1,0
0.0431067,128547.85150000028,140859.2870000002,116236.41600000039,12311.435499999898,24622.870999999795,0.0631561,0.0916047,1,1,0,1,0
0.0916047,186112.88900000014,233152.26500000007,139073.5130000002,47039.37599999993,94078.75199999986,0.0431067,0.0551908,1,1,0,1,0
0.0551908,138213.024,162234.63199999987,114191.41600000016,24021.607999999855,48043.21599999971,0.0916047,0.1575442,1,1,0,1,0
0.1575442,394534.47750000015,642228.8820000001,146840.07300000015,247694.40449999998,495388.80899999995,0.0551908,0.1803916,1,1,0,0,1
0.1803916,451750.958,628475.5850000001,275026.33099999983,176724.62700000012,353449.25400000025,0.1575442,0.0532581,1,1,0,0,1
0.0532581,166804.41300000006,184103.74600000028,149505.07999999987,17299.333000000202,34598.666000000405,0.1803916,0.1427436,1,1,0,0,1
0.1427436,447073.47600000026,524307.1700000003,369839.7820000003,77233.69399999999,154467.38799999998,0.0532581,0.1606922,1,1,0,0,1
0.1606922,503288.53800000047,540702.9240000002,465874.1520000007,37414.385999999766,74828.77199999953,0.1427436,0.1461385,1,1,0,0,1
